sender,receiver,date,location,identifier
Samuel L. Clemens,Frank Fuller,5 December 1879,Hartford Conn,UCCL01733 CLjC
Samuel L. Clemens,Editor of the Hartford Courant,8 December 1879,Hartford Conn,UCCL02808
Samuel L. Clemens,Editor of the Hartford Courant and Thomas B. Kirby Private Secretary to the Postmaster General,8 December 1879,Hartford Conn,UCCL02807
OLC,Olivia Lewis Langdon,8 December 1879,Hartford Conn,UCCL02809 CtHMTH
Samuel L. Clemens,William Dean Howells,9 December 1879,Hartford Conn,UCCL01736 MH-H
Samuel L. Clemens,Robert G. Ingersoll,9 December 1879,Hartford Conn,UCCL01737 CU-MARK
Samuel L. Clemens,James Cowan,9 December 1879,Hartford Conn,UCCL01735 TxU-Hu
Samuel L. Clemens,William Dean Howells,10 December 1879,Hartford Conn,UCCL01738 MH-H
Samuel L. Clemens,Robert M. Howland,14 December 1879,Hartford Conn,UCCL02810 CU-MARK
Samuel L. Clemens,Robert G. Ingersoll,14 December 1879,Hartford Conn,UCCL01740 CU-MARK
Samuel L. Clemens,Frank B. Earnest,18 December 1879,Hartford Conn,UCCL01741
Samuel L. Clemens,Frank Fuller,19 December 1879,Hartford Conn,UCCL01742 CLjC
Samuel L. Clemens,Mary Mason Fairbanks,21 December 1879,Hartford Conn,UCCL01743 CSmH
SLC,John Munro,25 December 1879,Hartford Conn,UCCL01745
Samuel L. Clemens,Samuel E. Moffett,26 December 1879,Hartford Conn,UCCL01744 CU-MARK
Samuel L. Clemens,Robert S. Critchell,26–31 December 1879,Hartford Conn,UCCL12963 2023
Samuel L. Clemens,Robert M. Howland,29 December 1879,Hartford Conn,UCCL04128 CU-MARK
OLC,Olivia Lewis Langdon,1879,Unknown place,UCCL01619 CtHMTH
SLC,Lucius Fairchild,1879–1882,Unknown place,UCCL13346
SLC,Unidentified,January 1880,Hartford Conn,UCCL01062 CU-MARK
SLC,William Wright,1 January 1880,Hartford Conn,UCCL09531
SLC,Unidentified,2 January 1880,Hartford Conn,UCCL14077 2024
Samuel L. Clemens,Jane Lampton Clemens,7 January 1880,Hartford Conn,UCCL01751 NPV
Samuel L. Clemens,William Dean Howells,8 January 1880,Hartford Conn,UCCL02538 NN-BGC
Samuel L. Clemens,Thomas Bailey Aldrich,8 January 1880,Hartford Conn,UCCL01752 MH-H
Samuel L. Clemens,Moncure D. Conway,19 January 1880,Elmira N.Y,UCCL01754 NNC
Samuel L. Clemens,William Dean Howells,24 January 1880,Elmira N.Y,UCCL01756 MH-H
Samuel L. Clemens,Andrew H. H. Dawson,1–7 January 1880,Hartford Conn,UCCL01755 CU-MARK
Samuel L. Clemens,Pamela A. Moffett,25 January 1880,Elmira N.Y,UCCL01757 NPV
Samuel L. Clemens,Unidentified,27 January 1880,Elmira N.Y,UCCL11943
Samuel L. Clemens,Unidentified,February 1880,Hartford Conn,UCCL12558 2024
Samuel L. Clemens,Francis D. and Elizabeth M. Millet,4 February 1880,Hartford Conn,UCCL12652 UKOv2 2014
Samuel L. Clemens,Mary Mason Fairbanks,6 February 1880,Hartford Conn,UCCL01758 CSmH
Samuel L. Clemens,Papyrus Club,7 February 1880,Hartford Conn,UCCL12249
Samuel L. Clemens,Orion Clemens,7 February 1880,Hartford Conn,UCCL01760 CU-MARK
Samuel L. Clemens,Charles B. Andrews,7 February 1880,Hartford Conn,UCCL01759 CtLHi CU-MARK
Samuel L. Clemens,Frank Fuller,18 February 1880,Hartford Conn,UCCL13039 Hald2
Samuel L. Clemens,William Mackay Laffan,20 February 1880,Hartford Conn,UCCL06202 CU-MARK
Samuel L. Clemens,Orion Clemens,21 February 1880,Hartford Conn,UCCL01761 NPV
Samuel L. Clemens,Mary Keily,21 February 1880,Hartford Conn,UCCL10652
Samuel L. Clemens,Frank Fuller,24 February 1880,Hartford Conn,UCCL01762 CU-MARK
SLC,George A. Townsend,26 February 1880,Hartford Conn,UCCL08598 CtY 2013
Samuel L. Clemens,Orion Clemens,26 February 1880,Hartford Conn,UCCL01763 NPV
Samuel L. Clemens,Pamela A. Moffett,28 February 1880,Hartford Conn,UCCL01765 NPV
Samuel L. Clemens,Orion Clemens,28 February 1880,Hartford Conn,UCCL01764 NPV
Samuel L. Clemens,Francis E. Bliss,3 March 1880,Hartford Conn,UCCL09701
SLC,Julius Hey,4 March 1880,Hartford Conn,UCCL14136 2025
Samuel L. Clemens,William Dean Howells,5 March 1880,Hartford Conn,UCCL01767 MH-H
Samuel L. Clemens,Orion Clemens,5 March 1880,Hartford Conn,UCCL01766 NPV
Samuel L. Clemens,Charles H. Clark,6 March 1880,Hartford Conn,UCCL08597 CtHMTH
SLC,Unidentified,8 March 1880,Hartford Conn,UCCL10342
SLC,H. Rowlett,8 March 1880,Hartford Conn,UCCL14084 2024
Samuel L. Clemens,Pamela A. Moffett,8 or 15 March 1880,Hartford Conn,UCCL04129 CU-MARK
Samuel L. Clemens,William Dean Howells,11 March 1880,Hartford Conn,UCCL02539 NN-BGC
Samuel L. Clemens,Samuel E. Moffett,11 March 1880,Hartford Conn,UCCL01769 CU-MARK
Samuel L. Clemens,Ainsworth R. Spofford,11 March 1880,Hartford Conn,UCCL01770 DLC
SLC,Unidentified,14 March 1880,Hartford Conn,UCCL09309 CtY-BR
Samuel L. Clemens,Joseph H. Twichell,16 March 1880,Hartford Conn,UCCL01771 CtY-BR
Samuel L. Clemens,Elisha Bliss Jr.,20 March 1880,Hartford Conn,UCCL02540 NN-BGC
Samuel L. Clemens,David Watt Bowser,20 March 1880,Hartford Conn,UCCL01772 TxU-Hu
SLC,Sidney B. and Isabel S. Howell,22 March 1880,Hartford Conn,UCCL13033 NElmC
Samuel L. Clemens,William Dean Howells,24 March 1880,Hartford Conn,UCCL01774 MH-H
Samuel L. Clemens,Joseph H. Twichell,24 March 1880,Hartford Conn,UCCL09197 CU-MARK
Samuel L. Clemens,Andrew Chatto,27 March 1880,Hartford Conn,UCCL00743 UkReU
OLC,Olivia Lewis Langdon,28 March 1880,Hartford Conn,UCCL01776 CtHMTH
Samuel L. Clemens,Moncure D. Conway,31 March 1880,Hartford Conn,UCCL01778 NNC
Samuel L. Clemens,Frank Fuller,April 1880,Hartford Conn,UCCL11987
Samuel L. Clemens,Clara L. Spaulding,April 1880,Hartford Conn,UCCL09776
Samuel L. Clemens,David Watt Bowser,1 April 1880,Hartford Conn,UCCL01777 TxU-Hu
Samuel L. Clemens and Olivia L. Clemens,William Dean Howells,1 April 1880,Hartford Conn,UCCL01779 MH-H
Samuel L. Clemens,Monday Evening Club,2 April 1880,Hartford Conn,UCCL10343
Samuel L. Clemens,Melville E. Stone,3 April 1880,Hartford Conn,UCCL01781 ICN
Samuel L. Clemens,Orion Clemens,4 April 1880,Hartford Conn,UCCL01782 NPV
SLC,Annie E. Trumbull,5 April 1880,Hartford Conn,UCCL13873 CtHi 2019
Samuel L. Clemens,William A. Wood,6 April 1880,Hartford Conn,UCCL12917 MoCgS
Samuel L. Clemens,H. L. Joachimsen,8 April 1880,Hartford Conn,UCCL10562 Axelrod CU-MARK 2025
Samuel L. Clemens,Charles H. Phelps,8 April 1880,Hartford Conn,UCCL12483 CtHMTH
Samuel L. Clemens,Jane Lampton Clemens and Pamela A. Moffett,11 April 1880,Hartford Conn,UCCL01783 NPV
Samuel L. Clemens,Harriet E. Whitmore,11 April 1880,Hartford Conn,UCCL11264 CtHMTH
Samuel L. Clemens,William Dean Howells,12 April 1880,Hartford Conn,UCCL01784 MH-H
Samuel L. Clemens,Elisabeth G. (Lilly) Warner,April 1880,Hartford Conn,UCCL11073 ViU
Samuel L. Clemens,William Dean Howells,19 and 20 April 1880,Hartford Conn,UCCL01785 MH-H
SLC,Chatto & Windus,20 April 1880,Hartford Conn,UCCL02541 NN-BGC
Samuel L. Clemens,Press Club of Chicago,20 April 1880,Hartford Conn,UCCL09869
Samuel L. Clemens,Moncure D. Conway,20–21 April 1880,Hartford Conn,UCCL01787 NNC NN-BGC
Samuel L. Clemens,Jane Lampton Clemens and Pamela A. Moffett,21 April 1880,Hartford Conn,UCCL01789 NPV
Samuel L. Clemens,Elisha Bliss Jr.,21 April 1880,Hartford Conn,UCCL01788 CtY-BR
Samuel L. Clemens,William Dean Howells,22 April 1880,Hartford Conn,UCCL01790 MH-H
Samuel L. Clemens,Frank Fuller,22 April 1880,Hartford Conn,UCCL01791 WU-MU
Samuel L. Clemens,William Dean Howells,23 April 1880,Hartford Conn,UCCL01793 MH-H
Samuel L. Clemens,Hjalmar H. Boyesen,23 April 1880,Hartford Conn,UCCL01792 ViU
Samuel L. Clemens,Orion Clemens,25 April 1880,Hartford Conn,UCCL09214 CU-MARK
Samuel L. Clemens,Chatto and Windus,25 April 1880,Hartford Conn,UCCL00779 UkReU
Samuel L. Clemens,Lucius Fairchild,28 April 1880,Hartford Conn,UCCL01794
Samuel L. Clemens,William Dean Howells,29 April 1880,Hartford Conn,UCCL01795 MH-H
Samuel L. Clemens,Miss Perkins,30 April 1880,Hartford Conn,UCCL01796 CtY-BR
SLC,Unidentified,May 1880,Hartford Conn,UCCL11007 CtHMTH
Samuel L. Clemens,Rollin M. Daggett,1 May 1880,Hartford Conn,UCCL01798 CU-MARK
Samuel L. Clemens,Moncure D. Conway,1 May 1880,Hartford Conn,UCCL01797 NNC
Samuel L. Clemens,Chatto and Windus,1 May 1880,Hartford Conn,UCCL00783 UkReU
SLC,Mary D. Ely,1–7 May 1880,Hartford Conn,UCCL03136 MiU-H
Samuel L. Clemens,Robert M. Howland,2 May 1880,Hartford Conn,UCCL09310 CU-MARK
SLC,New York Independent,3 May 1880,Hartford Conn,UCCL07672
Samuel L. Clemens,Orion Clemens,6 May 1880,Hartford Conn,UCCL01799 CU-MARK
Samuel L. Clemens,William Dean Howells,6–7 May 1880,Hartford Conn,UCCL02542 NN-BGC
Samuel L. Clemens,Francis E. Bliss,8 May 1880,Hartford Conn,UCCL01801 CtWep1
Samuel L. Clemens,Orion Clemens,12 May 1880,Hartford Conn,UCCL01802 CU-MARK
Samuel L. Clemens,Thomas H. Murray,13 May 1880,Hartford Conn,UCCL01803 CU-MARK
Samuel L. Clemens,Jane Lampton Clemens and Pamela A. Moffett,14 May 1880,Hartford Conn,UCCL01804 NPV
Samuel L. Clemens,Edwin Pond Parker,15 May 1880,Hartford Conn,UCCL01805 ViU
Samuel L. Clemens,William Dean Howells,18 May 1880,Hartford Conn,UCCL01806 MH-H
Samuel L. Clemens,Franklin G. Whitmore,18 May 1880,Hartford Conn,UCCL01807 CtHMTH
SLC,E. S. Bowen,20 May 1880,Hartford Conn,UCCL11214
Samuel L. Clemens,Moncure D. Conway,20 May 1880,Hartford Conn,UCCL01808 NNC
Samuel L. Clemens,Francis E. Bliss,20 May 1880,Hartford Conn,UCCL09196 CU-MARK
Samuel L. Clemens,Charles J. Langdon (with enclosed inscription for E. S. Bowen),20 May 1880,Hartford Conn,UCCL11964
Samuel L. Clemens,Unidentified,21 May 1880,Hartford Conn,UCCL11603 Axelrod
Samuel L. Clemens,Fanny C. Hesse,21 May 1880,Hartford Conn,UCCL01091 CU-MARK
Samuel L. Clemens,Rollin M. Daggett,24 May 1880,Hartford Conn,UCCL02811 CU-MARK
Samuel L. Clemens,Julia Jones Beecher,30 May 1880,Hartford Conn,UCCL01809 NElmC
Samuel L. Clemens,Unidentified,June 1880,Hartford Conn,UCCL11048 CtY-BR
Samuel L. Clemens,Orion Clemens,1 June 1880,Hartford Conn,UCCL09476 CU-MARK
Samuel L. Clemens,Saturday Morning Club,1–11 June 1880,Hartford Conn,UCCL10480 CtHSD
Samuel L. Clemens,Moses S. Beach,8 June 1880,Hartford Conn,UCCL12644 CU-MARK
Samuel L. Clemens,William Dean Howells (2nd of 2),9 June 1880,Hartford Conn,UCCL02812 MH-H
Samuel L. Clemens,William Dean Howells (1st of 2),9 June 1880,Hartford Conn,UCCL02543 NN-BGC
Samuel L. Clemens,William Dean Howells,10 June 1880,Hartford Conn,UCCL10857 MH-H
Samuel L. Clemens,David Gray,10 June 1880,Hartford Conn,UCCL11405 NHyF
Samuel L. Clemens,Mary M. Booth,11 June 1880,Hartford Conn,UCCL01811
Samuel L. Clemens,William Dean Howells,15 June 1880,Hartford Conn,UCCL01812 MH-H
Samuel L. Clemens,Franklin G. Whitmore,15 June 1880,Hartford Conn,UCCL11814 CtMy3
Samuel L. Clemens,Susan L. Warner and Elisabeth G. (Lilly) Warner,17 June 1880,Elmira N.Y,UCCL01814 CU-MARK
Samuel L. Clemens,Charles Warren Stoddard,17 June 1880,Elmira N.Y,UCCL01813 MoSW
Samuel L. Clemens,Miss Simon,19 June 1880,Elmira N.Y,UCCL01815 CU-MARK
Samuel L. Clemens,Orion Clemens,22 June 1880,Elmira N.Y,UCCL01816 CU-MARK
Samuel L. Clemens,Daniel Slote,29 June 1880,Elmira N.Y,UCCL01817 NPV
Samuel L. Clemens,Charles Eliot Norton,1–18 July 1880,Elmira N.Y,UCCL04370
Samuel L. Clemens,Haynes & Simmons,2 July 1880,Elmira N.Y,UCCL09219 CU-MARK
Samuel L. Clemens,George Gebbie,14–17 July 1880,Elmira N.Y,UCCL09202 CU-MARK
Samuel L. Clemens,Joseph H. Twichell,19 July 1880,Elmira N.Y,UCCL12758 CU-MARK
Samuel L. Clemens,Pamela A. Moffett,23 July 1880,Elmira N.Y,UCCL01818 NPV
Samuel L. Clemens,William Dean Howells,26 July 1880,Elmira N.Y,UCCL01819 MH-H
Samuel L. Clemens for Jean Clemens,Jane Lampton Clemens,28–29 July 1880,Elmira N.Y,UCCL09127 CU-MARK
SLC,William H. Chiles,30 July 1880,Elmira N.Y,UCCL14073 2024
Samuel L. Clemens,William Dean Howells,1 August 1880,Elmira N.Y,UCCL01820 MH-H
Samuel L. Clemens,Francis E. Bliss,1 August 1880,Elmira N.Y,UCCL13045 CU-MARK
Samuel L. Clemens,William Dean Howells,9 August 1880,Elmira N.Y,UCCL01821 MH-H
Samuel L. Clemens,Editors of the River Record,9 August 1880,Elmira N.Y,UCCL09210 2013
Samuel L. Clemens,John Brown,14–15 August 1880,Elmira N.Y,UCCL02814 CBev3
Samuel L. Clemens,Moncure D. Conway,17 August 1880,Elmira N.Y,UCCL01824 NNC
Samuel L. Clemens,Elinor M. Howells,17 August 1880,Elmira N.Y,UCCL01825 MH-H
Samuel L. Clemens for Jean Clemens,Olivia Lewis Langdon,19 August 1880,Elmira N.Y,UCCL01826 CtHMTH
Samuel L. Clemens,Joseph H. Twichell,29 August 1880,Elmira N.Y,UCCL01827 CU-MARK
Samuel L. Clemens,Edward H. House,31 August–1 September 1880,Elmira N.Y,UCCL01828 2023
Samuel L. Clemens,Tiffany and Co.,2–16 September 1880,Elmira N.Y,UCCL09220 CU-MARK
Samuel L. Clemens,William Dean Howells,3 September 1880,Elmira N.Y,UCCL01829 MH-H
Samuel L. Clemens,T. W. M. Boone,3 September 1880,Elmira N.Y,UCCL03341 ArU
Samuel L. Clemens,George Griffin per Telegraph Operator,11 September 1880,Elmira N.Y,UCCL01830 CtHMTH
Samuel L. Clemens,Harriet E. Whitmore,13 September 1880,Elmira N.Y,UCCL01832 CtHMTH
Samuel L. Clemens,Editors of the New York Evening Post,14 September 1880,Elmira N.Y,UCCL01833 2024
SLC,Chester A. Arthur,15 September 1880,Elmira N.Y,UCCL13240 DLC
Samuel L. Clemens,Thomas Bailey Aldrich,15 September 1880,Elmira N.Y,UCCL01834 VtMiM
Samuel L. Clemens,Charles E. Perkins,15 September 1880,Elmira N.Y,UCCL01831 CtHMTH
Samuel L. Clemens,Editor of the Hartford Courant,20–24 September 1880,Elmira N.Y,UCCL01748 CU-MARK
Samuel L. Clemens,David Gray,23 September 1880,Elmira N.Y,UCCL11406 NHyF
Samuel L. Clemens,Charles E. Perkins,23 September 1880,Elmira N.Y,UCCL08623 CtHMTH
SLC,Susan L. Crane,1 October 1880,Unknown place,UCCL12508 CU-MARK
Samuel L. Clemens,William Dean Howells with note to Susan L. Crane,1 October 1880,Hartford Conn,UCCL12507 CU-MARK
Samuel L. Clemens,Frank Fuller,2 October 1880,Hartford Conn,UCCL01835 MoSW
SLC,H. Beaugrand,4 October 1880,Hartford Conn,UCCL14083 2024
Samuel L. Clemens,Edward H. House,6 October 1880,Hartford Conn,UCCL01836 ViU
Samuel L. Clemens,Christian Bernhard Tauchnitz,7 October 1880,Hartford Conn,UCCL01837
Samuel L. Clemens,Moncure D. Conway,8 October 1880,Hartford Conn,UCCL01838 NNC
Samuel L. Clemens,William Dean Howells,13 October 1880,Hartford Conn,UCCL01840 MH-H
Samuel L. Clemens,Joseph H. Twichell per Telegraph Operator,14 October 1880,Boston Mass,UCCL01841 CtY-BR
Samuel L. Clemens,William Dean Howells per Telegraph Operator,15 October 1880,Boston Mass,UCCL01842 MH-H
Samuel L. Clemens,William Dean Howells,19 October 1880,Hartford Conn,UCCL01843 MH-H
Samuel L. Clemens,James R. Osgood,19 October 1880,Hartford Conn,UCCL10668 Axelrod
Samuel L. Clemens,Francis E. Bliss,23 October 1880,Hartford Conn,UCCL01844 WU-MU
Samuel L. Clemens,William Dean Howells,24 October 1880,Hartford Conn,UCCL02544 NN-BGC
Samuel L. Clemens,Orion Clemens,24 October 1880,Hartford Conn,UCCL01845 CU-MARK
Samuel L. Clemens,Charles E. Perkins,25 October 1880,Hartford Conn,UCCL01846 CtHMTH
Samuel L. Clemens,Clara M. Wilson,27 October 1880,Hartford Conn,UCCL01847 CSadM
Samuel L. Clemens,William Dean Howells,28 October 1880,Hartford Conn,UCCL01848 MH-H
Samuel L. Clemens,William Dean Howells,30 October 1880,Hartford Conn,UCCL01850 MH-H
Samuel L. Clemens,Frank Fuller per Telegraph Operator,30 October 1880,Hartford Conn,UCCL01849 CLjC
Samuel L. Clemens,Unidentified,November 1880,Unknown place,UCCL09311 MWA
Samuel L. Clemens,Cornelia Ward Smith,November 1880,Hartford Conn,UCCL12011 CU-MARK
Samuel L. Clemens,Herbert E. Hill,3 November 1880,Hartford Conn,UCCL09943 ODa2
Samuel L. Clemens,H. Clay Lukens,9 November 1880,Hartford Conn,UCCL01852
Samuel L. Clemens,Edward H. House,9 November 1880,Hartford Conn,UCCL02851 ViU
Samuel L. Clemens,Pamela A. Moffett,14 November 1880,Hartford Conn,UCCL11995 CU-MARK
SLC,Herbert E. Hill,15 November 1880,Hartford Conn,UCCL09455 CU-MARK 2018
Samuel L. Clemens,Darwin R. Barker,15 November 1880,Hartford Conn,UCCL01853 NFred
SLC,Buffalo Bazaar Bulletin,17 November 1880,Hartford Conn,UCCL12659
Samuel L. Clemens,Martha G. Gray,17 November 1880,Hartford Conn,UCCL11407 NHyF
Samuel L. Clemens,James R. Osgood,17 November 1880,Hartford Conn,UCCL01854
Samuel L. Clemens,Mary Mapes Dodge,19 November 1880,Hartford Conn,UCCL02545 NN-BGC
SLC,Edward Bok,20 November 1880,Hartford Conn,UCCL13374
Samuel L. Clemens,Unidentified,20 November 1880,Hartford Conn,UCCL09944
Samuel L. Clemens,Editor of the New York Evening Post,23 November 1880,Hartford Conn,UCCL12212 CtHMTH
SLC,James A. Garfield,26 November 1880,Hartford Conn,UCCL10776 MH-H
Samuel L. Clemens,James Osgood,26 November 1880,Hartford Conn,UCCL01856 MH-H 2014
Samuel L. Clemens and Olivia L. Clemens,Martha G. Gray,26 November 1880,Hartford Conn,UCCL11408 NHyF
Samuel L. Clemens,Orion Clemens,27 November 1880,Hartford Conn,UCCL01857 NPV CU-MARK
Samuel L. Clemens,Franklin G. Whitmore,27 November 1880,Hartford Conn,UCCL01858 CU-MARK
Samuel L. Clemens,Fields Osgood and Co.,28 November 1880,Hartford Conn,UCCL01859
Samuel L. Clemens,Editors of Childhood’s Appeal,30 November 1880,Hartford Conn,UCCL02134
Samuel L. Clemens,Franklin G. Whitmore,30 November 1880,Hartford Conn,UCCL01860 CU-MARK
SLC,Unidentified,December 1880,Hartford Conn,UCCL12998
Samuel L. Clemens,Unidentified,December 1880,Hartford Conn,UCCL10817 InU-Li
Samuel L. Clemens,Unidentified,December 1880,Hartford Conn,UCCL01862 C4
Samuel L. Clemens,Jane Grey Swisshelm,December 1880,Hartford Conn,UCCL08607 CU-MARK
Samuel L. Clemens,Chatto and Windus,1 December 1880,Hartford Conn,UCCL01863 IU-R
Samuel L. Clemens,H. Clay Lukens,6 December 1880,Hartford Conn,UCCL01865
OLC,Mollie Clemens,7 December 1880,Hartford Conn,UCCL01867 CU-MARK
Samuel L. Clemens,Pamela A. Moffett,8 December 1880,Hartford Conn,UCCL01869 NPV
Samuel L. Clemens,Mary E. (Mollie) Clemens,8 December 1880,Hartford Conn,UCCL01866 CU-MARK
Samuel L. Clemens,A. M. Edwards,8 December 1880,Hartford Conn,UCCL01868 CLU-SC
Samuel L. Clemens,Unidentified,10 December 1880,Hartford Conn,UCCL09062 CU-MARK
Samuel L. Clemens,Pamela A. Moffett,11 December 1880,Hartford Conn,UCCL01870 CU-MARK
Samuel L. Clemens,James R. Osgood,13 December 1880,Hartford Conn,UCCL01871 ODa2
Samuel L. Clemens,Unidentified,16 December 1880,Hartford Conn,UCCL10701 MiU
Samuel L. Clemens,James R. Osgood,16 December 1880,Hartford Conn,UCCL01873 Axelrod
Samuel L. Clemens,Daniel Slote,16 December 1880,Hartford Conn,UCCL01872 NPV
Samuel L. Clemens,Rose Terry Cooke,17 December 1880,Hartford Conn,UCCL01875 CtHi
Samuel L. Clemens,Orion Clemens,17 December 1880,Hartford Conn,UCCL01874 NPV
Samuel L. Clemens,Edwin Pond Parker,22 December 1880,Hartford Conn,UCCL01876 ViU
Samuel L. Clemens,David Watt Bowser,22 December 1880,Hartford Conn,UCCL02124 TxU-Hu
Samuel L. Clemens,William Dean Howells,24 December 1880,Hartford Conn,UCCL02546 NN-BGC
Samuel L. Clemens,Pamela A. Moffett,24 December 1880,Hartford Conn,UCCL01879 NPV
Samuel L. Clemens,Francis E. Bliss,24 December 1880,Hartford Conn,UCCL01877 NBuU-PO
Samuel L. Clemens,Edwin Pond Parker,24 December 1880,Hartford Conn,UCCL02547 NN-BGC
Samuel L. Clemens,Susan L. Warner,25 December 1880,Hartford Conn,UCCL08919 NN-BGC
Samuel L. Clemens,Olivia Lewis Langdon,25 December 1880,Hartford Conn,UCCL01881 CU-MARK
Samuel L. Clemens,Clara L. Clemens,25 December 1880,Hartford Conn,UCCL09528
OLC,Annie M. Webster,25 December 1880,Hartford Conn,UCCL01750 NPV
Samuel L. Clemens,James R. Osgood,27 December 1880,Hartford Conn,UCCL12250
OLC,Mollie Clemens,28 December 1880,Hartford Conn,UCCL01883 CU-MARK
Samuel L. Clemens,William A. Seaver,29 December 1880,Hartford Conn,UCCL01885 CU-MARK
Samuel L. Clemens,Press Club of Chicago,29 December 1880,Hartford Conn,UCCL01884
SLC,Unidentified,1880,Unknown place,UCCL08710 CU-MARK
SLC,Murphy O’Mulligan Club,Unknown date,Unknown place,UCCL10862 CU-MARK
SLC,Franklin G. Whitmore,Unknown date,Hartford Conn,UCCL10066 CU-MARK
SLC,B. F. Underwood,1880,Unknown place,UCCL13497
SLC,Susan L. Crane and Mrs. Jervis Langdon,Unknown date,Hartford Conn,UCCL08711 CU-MARK
SLC,Unidentified,January 1881,Hartford Conn,UCCL10849 PHC
Samuel L. Clemens,Moncure D. Conway,3 January 1881,Hartford Conn,UCCL01887 NNC
SLC,James R. Osgood,5 January 1881,Hartford Conn,UCCL13129 2015
Samuel L. Clemens,William P. Woolley,5 January 1881,Hartford Conn,UCCL09630 CU-MARK
SLC,Linus T. Fenn,7 January 1881,Hartford Conn,UCCL09583 CU-MARK
SLC,George W. Bagby,7 January 1881,Hartford Conn,UCCL01995 ViHi
SLC,Olivia Lewis Langdon,9 January 1881,Hartford Conn,UCCL01889 CU-MARK
Samuel L. Clemens,Jane Lampton Clemens,9 January 1881,Hartford Conn,UCCL01886 NPV
SLC,Pamela Clemens Moffett,10 January 1881,Hartford Conn,UCCL01890 CU-MARK
Samuel L. Clemens,James A. Garfield,12 January 1881,Hartford Conn,UCCL01891 ViU
Samuel L. Clemens,William Dean Howells,14 January 1881,Hartford Conn,UCCL01892 MH-H
SLC,William M. Clemens,16 January 1881,Hartford Conn,UCCL01893
SLC,James R. Osgood,21 January 1881,Hartford Conn,UCCL01894
SLC,James R. Osgood,23 January 1881,Hartford Conn,UCCL01895 MH-H
SLC,Mary M. Fairbanks,24 January 1881,Hartford Conn,UCCL04130 CSmH
SLC,Lucy Webb Hayes,24 January 1881,Hartford Conn,UCCL09312 OFH
SLC,Daniel Slote,26 January 1881,Hartford Conn,UCCL01898 NPV
SLC,Stephen C. Massett,31 January 1881,Hartford Conn,UCCL01900 ViU
SLC,Annie E. Lucas,31 January 1881,Hartford Conn,UCCL01899
SLC,Karl Gerhardt,February 1881,Unknown place,UCCL13510
SLC,James R. Osgood,1 February 1881,Hartford Conn,UCCL01901 CAlb2
SLC,James Hammond Trumbull,1 February 1881,Hartford Conn,UCCL01902 CtHi
SLC,Pamela Clemens Moffett,3 February 1881,Hartford Conn,UCCL01903 CU-MARK
SLC,L. C. Orvis and Pacific Telegraph Co,3 February 1881,Hartford Conn,UCCL09592 CU-MARK
SLC,Charles E. Perkins,3 February 1881,Hartford Conn,UCCL01904 CtHMTH
SLC,William D. Howells,4 February 1881,Hartford Conn,UCCL01906 MH-H
SLC,Pamela Clemens Moffett,4 February 1881,Hartford Conn,UCCL01189 NPV
SLC,Edward H. House,4 February 1881,Hartford Conn,UCCL01905 ViU
SLC,James R. Osgood,6 February 1881,Hartford Conn,UCCL11962
SLC,Koto House,12 February 1881,Hartford Conn,UCCL10346 ViU
SLC,James R. Osgood,12 February 1881,Hartford Conn,UCCL01907 MH-H
SLC,William D. Howells,15 February 1881,Hartford Conn,UCCL01908 MH-H
SLC,Joseph H. Twichell,16 February 1881,Hartford Conn,UCCL01909 CU-MARK
SLC,Edward H. House,19 February 1881,Hartford Conn,UCCL01910 ViU
SLC,Daniel Slote,19–21 February 1881,Hartford Conn,UCCL01911 NPV
SLC,William D. Howells,21 February 1881,Hartford Conn,UCCL12728 CU-MARK
SLC,William D. Howells,21 February 1881,Hartford Conn,UCCL02549 NN-BGC
SLC,John R. Young,21 February 1881,Hartford Conn,UCCL01913 DLC
SLC,Hattie J. Gerhardt,22 February 1881,Hartford Conn,UCCL10955
SLC,Daniel Slote,24 February 1881,Boston Mass,UCCL01914 NPV
SLC,Charles E. Perkins,25 February 1881,Hartford Conn,UCCL01915 CtHMTH
SLC,Karl Gerhardt,25–27 February 1881,Hartford Conn,UCCL11534 CLaf2
SLC,Karl and Hattie J. Gerhardt,25–27 February 1881,Hartford Conn,UCCL12017 NSyU
SLC,Edward F. Noyes,26 February 1881,Hartford Conn,UCCL01916 MiD
SLC,Any U. S. Representative or Other Friend of Mine,26 February 1881,Hartford Conn,UCCL01822
SLC,William D. Howells,27 February 1881,Hartford Conn,UCCL02550 NN-BGC
SLC,Karl Gerhardt,27 February 1881,Hartford Conn,UCCL12674 CtHMTH
OLC,Elinor M. Howells,28 February 1881,Hartford Conn,UCCL01918 MH-H
SLC,Unidentified,March 1881,Hartford Conn,UCCL10559 CU-MARK
SLC,William D. Howells,3 March 1881,Hartford Conn,UCCL01921 MH-H
SLC,Karl Gerhardt,3 March 1881,Hartford Conn,UCCL08590 MoHM
SLC,A. V. S. Anthony,3 March 1881,Hartford Conn,UCCL01920 CU-MARK
SLC,William D. Howells,4 March 1881,Hartford Conn,UCCL01922 MH-H
SLC,Karl Gerhardt,4 March 1881,Hartford Conn,UCCL12014
SLC,Unidentified,5 March 1881,Unknown place,UCCL11008 CtHMTH
SLC,Unidentified,5 March 1881,Hartford Conn,UCCL09313
SLC,Mary M. Fairbanks,5 March 1881,Hartford Conn,UCCL01923 CSmH
