sender,receiver,date,location,identifier
Samuel L. Clemens,Olivia L. Langdon,29–30 January 1869,Galena Ill,UCCL00243 CU-MARK
Samuel L. Clemens,Francis E. Bliss,1 February 1869,Jacksonville Ill,UCCL02446 NN-BGC
Samuel L. Clemens,Mary Mason Fairbanks,5 February 1869,Elmira N.Y,UCCL00246 CSmH
Samuel L. Clemens,Jane Lampton Clemens and Family,5 February 1869,Elmira N.Y,UCCL00245 Mo4
Samuel L. Clemens,Olivia Lewis (Mrs. Jervis) Langdon,13 February 1869,Ravenna Ohio,UCCL00249 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,13 February 1869,Cleveland Ohio,UCCL00247 CU-MARK
Samuel L. Clemens,Mary Mason Fairbanks,13 February 1869,Ravenna Ohio,UCCL00248 CSmH
Samuel L. Clemens,Olivia L. Langdon,13–14 February 1869,Ravenna Ohio,UCCL00250 CU-MARK
Samuel L. Clemens,Joseph R. Hawley,14 February 1869,Ravenna Ohio,UCCL00253 CtHi
Samuel L. Clemens,Joseph H. Twichell and Family,14 February 1869,Ravenna Ohio,UCCL00252 Mo4
Samuel L. Clemens,Elisha Bliss Jr.,14 February 1869,Ravenna Ohio,UCCL00251 PPiU
Samuel L. Clemens,Olivia L. Langdon,15 February 1869,Ravenna Ohio,UCCL00254 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,17 February 1869,Titusville Pa,UCCL00255 CU-MARK
Samuel L. Clemens,Mary Mason Fairbanks,17 February 1869,Titusville Pa,UCCL00257 CSmH
Samuel L. Clemens,Mary Mason Fairbanks,17 February 1869,Franklin Pa,UCCL00258 CSmH
Samuel L. Clemens,Joseph T. Goodman,17 February 1869,Titusville Pa,UCCL00256
Samuel L. Clemens,Young Men’s Association of Geneseo Academy per Telegraph Operator,18 February 1869,Franklin Pa,UCCL04736
Samuel L. Clemens,Young Men’s Association of Geneseo Academy,21–22 February 1869,Elmira N.Y,UCCL11536
Samuel L. Clemens,Young Men’s Association of Geneseo Academy per Telegraph Operator,21–22 February 1869,Elmira N.Y,UCCL05164
Samuel L. Clemens,Young Men’s Association of Geneseo Academy per Telegraph Operator,21–22 February 1869,Elmira N.Y,UCCL11696
Samuel L. Clemens,Olivia L. Langdon,26 February 1869,Stuyvesant N.Y,UCCL00259 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,27 February 1869,Lockport N.Y,UCCL00260 CU-MARK
Samuel L. Clemens,Jane Lampton Clemens and Family,27 February 1869,Lockport N.Y,UCCL00262 NPV
Samuel L. Clemens,Mary Mason Fairbanks,27–28 February 1869,Lockport N.Y,UCCL00261 CSmH
Samuel L. Clemens,Olivia L. Langdon,28 February 1869,Rochester N.Y,UCCL00263 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,2 March 1869,Rochester N.Y,UCCL00264 CU-MARK
Olivia L. (Livy) Clemens,Alice B. Hooker,3 March 1869,Elmira N.Y,UCCL00265 CtHSD 2024
Samuel L. Clemens,Olivia L. Langdon,4 March 1869,Hartford Conn,UCCL00266 CU-MARK 2024
Samuel L. Clemens,Olivia L. Langdon,5 March 1869,Hartford Conn,UCCL00267 CU-MARK
Samuel L. Clemens,George W. Elliott,5–10 March 1869,Hartford Conn,UCCL11599
Samuel L. Clemens,Olivia L. Langdon with note to Charles J. Langdon,6 March 1869,Hartford Conn,UCCL00269 CU-MARK
Samuel L. Clemens,Olivia L. Langdon with note to Charles J. Langdon,6 March 1869,Hartford Conn,UCCL00268 CU-MARK
Samuel L. Clemens,Olivia L. Langdon with note to Charles J. Langdon,8 March 1869,Hartford Conn,UCCL00271 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,8–9 March 1869,Hartford Conn,UCCL00272 CU-MARK
Samuel L. Clemens,John Russell Young,8–10 March 1869,Hartford Conn,UCCL00270 DLC
Samuel L. Clemens,Susan L. Crane,9 and 31 March 1869,Hartford Conn and Elmira N.Y,UCCL00273 CU-MARK
Samuel L. Clemens,Olivia L. and Charles J. Langdon,10 March 1869,Hartford Conn,UCCL00274 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,12 March 1869,Hartford Conn,UCCL00275 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,12–13 March 1869,Hartford Conn,UCCL11634 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,13 March 1869,Hartford Conn,UCCL00277 CU-MARK
Samuel L. Clemens,Mary Mason Fairbanks,13 March 1869,Hartford Conn,UCCL00276 CSmH
Samuel L. Clemens,Horatio C. King and John R. Howard,13 March 1869,Hartford Conn,UCCL11118 PCarlD
Samuel L. Clemens,Mary Mason Fairbanks,24 March 1869,Elmira N.Y,UCCL00278 CSmH
Samuel L. Clemens,Jane Lampton Clemens and Family,26 March 1869,Elmira N.Y,UCCL00285 CLjC Mac Donnell 2022
Samuel L. Clemens,Elisha Bliss Jr.,30 March 1869,Elmira N.Y,UCCL00279 CU-MARK
Samuel L. Clemens and Olivia L. Langdon,Mary Mason Fairbanks,31 March–1 April 1869,Elmira N.Y,UCCL00280 CSmH
Samuel L. Clemens,Pamela A. Moffett,10 April 1869,Elmira N.Y,UCCL00289 Mo4
Samuel L. Clemens,Elisha Bliss Jr.,10 April 1869,Elmira N.Y,UCCL00288 Mo4 CU-MARK 2022
Samuel L. Clemens,Mary Mason Fairbanks,12 April 1869,Elmira N.Y,UCCL00282 CSmH
Samuel L. Clemens,Elisha Bliss Jr.,12 April 1869,Elmira N.Y,UCCL00281 CU-MARK
Samuel L. Clemens,Mary Mason Fairbanks,15 April 1869,Elmira N.Y,UCCL00284 CSmH
Samuel L. Clemens,Elisha Bliss Jr.,15 April 1869,Elmira N.Y,UCCL00283 CtY-BR 2013
Samuel L. Clemens,James Redpath,20 April 1869,Elmira N.Y,UCCL00287
Samuel L. Clemens,Elisha Bliss Jr.,20 April 1869,Elmira N.Y,UCCL00286 CU-MARK
Samuel L. Clemens,Elisha Bliss Jr.,29 April 1869,Elmira N.Y,UCCL00290 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,8 May 1869,New York N.Y,UCCL00291 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,8 May 1869,Hartford Conn,UCCL00292 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,9 May 1869,Hartford Conn,UCCL00293 CU-MARK
Samuel L. Clemens,Mary Mason Fairbanks,10 May 1869,Hartford Conn,UCCL00296 CSmH
Samuel L. Clemens,James Redpath,10 May 1869,Hartford Conn,UCCL00298 CU-MARK CtY
Samuel L. Clemens,Elisha Bliss Jr.,10 May–1 June 1869,Elmira N.Y or Hartford Conn,UCCL09924
Samuel L. Clemens,Jane Lampton Clemens,11 May 1869,Hartford Conn,UCCL00294 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,12 May 1869,Hartford Conn,UCCL00299 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,13 May 1869,Hartford Conn,UCCL00300 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,14 May 1869,Hartford Conn,UCCL00302 CU-MARK
Samuel L. Clemens,James Redpath,14–17 May 1869,Hartford Conn,UCCL09755
Samuel L. Clemens,Olivia L. Langdon,15 May 1869 (2nd of 2),Hartford Conn,UCCL00303 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,15 May 1869 (1st of 2),Hartford Conn,UCCL00301 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,15–16 May 1869,Hartford Conn,UCCL00304 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,17–18 May 1869,Hartford Conn,UCCL00305 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,19–20 May 1869,Hartford Conn,UCCL00306 CU-MARK
Samuel L. Clemens,Olivia L. Langdon with note to Jervis and Olivia Lewis Langdon,24 May 1869,South Windsor Conn,UCCL00309 CU-MARK
OLC,Alice H. Day,,Unknown,UCCL00308 CtHSD
Samuel L. Clemens,Olivia L. Langdon,29 May 1869,Elmira N.Y,UCCL00307 CU-MARK
Samuel L. Clemens,Silas S. Packard,1 June 1869,Elmira N.Y,UCCL00311 ViU
Samuel L. Clemens,John J. Murphy,1 June 1869,Elmira N.Y,UCCL00310 MoSW
